ticid,periods
310002617,5.788423787
311133118,6.085018378
317520667,0.123513731
317548889,7.537216479
317597583,5.650943305
320004517,8.826171776
320004517,9.295028553
320411045,2.406481219
320411045,2.395424008
323687123,4.377867184
332022997,8.592495885
332022997,9.251619838
332022997,8.357174045
332022997,8.949713798
332022997,8.446359416
332064670,8.050993463
332657786,3.533336878
333605244,7.89335605
335630746,2.971439406
347332255,6.037390721
347430350,5.813736569
349456525,6.950954862
349576261,3.772816153
349576261,3.818250959
349576261,3.817717766
349576261,3.929703556
349576261,3.929473623
349576261,3.840085293
349576261,3.839945359
349576261,3.749436857
349576261,3.749191239
349576261,3.867117576
349576261,3.866798949
349576261,3.882597267
349576261,3.882176328
349576261,3.725151453
349576261,3.611697753
349576261,3.76688014
349576261,3.916586234
349576261,3.91622585
349576261,3.883032845
349576261,3.882773669
349576261,3.820439193
349576261,4.01518329
349576261,3.83027179
349576261,3.875192788
349576261,3.969123781
349576261,3.921161394
349576261,3.93569649
349576261,3.693127434
349576261,3.747518538
349576261,3.745460508
349576261,3.6728682
349576261,3.672179463
349576261,3.871707857
349576261,3.871582411
349576261,3.828892075
349576261,3.828811003
349576261,3.860310276
349576261,3.860249978
349576261,3.825267623
349576261,3.825267623
349576261,3.803147238
349576261,3.802904332
349576261,3.967050359
349576261,3.966399515
349576261,3.954190242
349827430,2.651761328
350293646,6.845441284
350293646,7.03664537
350293646,7.467382442
350618622,3.284213769
350618622,3.028924694
350810590,4.541112574
350812580,7.5084336
350814607,10.61806695
350814607,11.43543049
350814607,10.48516347
350814607,11.27635506
350814622,12.19175231
351190880,13.85607569
351766445,7.553794539
351766445,7.960395682
351803452,9.71484883
351803524,3.631529129
351910733,5.163136904
352007758,7.992214631
352011875,9.714870839
352013543,5.862816799
352013543,5.870188982
352013543,5.70858494
352013543,5.754391209
352413427,5.944776184
352413427,6.200951603
352413427,6.624044615
352413427,6.299744146
354944123,7.440520877
354944123,7.237486383
354944123,13.46320108
354944123,7.474712152
355867695,9.763568289
356473034,14.940067
356867115,11.95000542
356867115,5.82404013
356867115,5.993121163
356867115,5.596410458
356867115,5.862807068
356867115,5.870264736
356867115,6.294775384
356867115,6.002877444
356867115,5.979327142
356867115,13.72340551
356867115,5.81392698
356867115,5.708691322
356867115,6.345139582
356867115,12.58402191
356867115,6.052725426
356867115,6.159804206
356867115,6.316515315
356867115,6.219175138
356867115,6.096300524
356867115,10.48512582
356867115,6.641491282
357501308,11.39475242
358107516,8.454436327
358516596,0.196977837
358516596,0.196913724
358516596,0.196945248
358516596,0.197043907
358516596,0.196909014
358516596,0.196895363
358516596,0.197029979
358516596,0.19701641
360156606,1.654308776
360156606,1.647826775
360156606,1.654554028
360156606,1.646730659
360156606,1.664145291
360630575,5.004447175
360630575,5.00412184
360630575,4.992987036
360630575,5.177684303
360742636,8.624356233
362249359,5.052543547
362249359,5.245724448
362249359,4.916872151
363445121,10.02423422
366411016,6.000896148
